,region,model,accuracy,score,loss,perplexity
138,HC-FR1,balmMoE,1.0,0.9999869775772094,6.667685283900937e-06,1.0000130224227906
139,HC-FR1,balmMoE,1.0,0.9999494290351868,2.2711408746545203e-05,1.0000505781173705
140,HC-FR1,balmMoE,1.0,0.9999514484405517,1.3409873645287007e-05,1.0000485610961913
141,HC-FR1,balmMoE,1.0,0.9999392795562744,1.2250111467437819e-05,1.0000607538223267
142,HC-FR1,balmMoE,1.0,0.9960165476799011,0.0022617815993726254,1.0040254974365235
143,HC-FR1,balmMoE,1.0,0.9999243474006653,2.9612989237648435e-05,1.00007568359375
144,HC-FR1,balmMoE,1.0,0.9999669218063354,1.7367017790093087e-05,1.0000330781936646
145,HC-FR1,balmMoE,1.0,0.9998378014564514,4.099042052985169e-05,1.0001623630523682
146,HC-FR1,balmMoE,1.0,0.9999624347686767,1.6882759155123495e-05,1.0000375652313231
147,HC-FR1,balmMoE,1.0,0.9999267411231995,2.4582372134318575e-05,1.000073275566101
148,HC-FR1,balmMoE,1.0,0.9999143266677857,4.009389886050485e-05,1.0000856924057007
149,HC-FR1,balmMoE,0.96,0.986086220741272,5.6564065744169056e-05,1.0766023731231689
150,HC-FR1,balmMoE,1.0,0.9928904581069946,2.5661434847279452e-05,1.0086165571212768
151,HC-FR1,balmMoE,1.0,0.9999505424499512,1.6038491594372317e-05,1.000049476623535
152,HC-FR1,balmMoE,1.0,0.9998983120918274,3.182702130288817e-05,1.000101728439331
153,HC-FR1,balmMoE,1.0,0.9920226454734802,7.434299914166331e-05,1.0099081897735596
154,HC-FR1,balmMoE,1.0,0.9999617815017701,1.7478165318607353e-05,1.0000382232666016
155,HC-FR1,balmMoE,1.0,0.9998414158821106,1.1763873771997169e-05,1.0001588201522826
156,HC-FR1,balmMoE,1.0,0.9652413845062255,4.509869540925138e-05,1.0626655340194702
157,HC-FR1,balmMoE,1.0,0.9999478673934936,2.1529342120629735e-05,1.0000521421432496
158,HC-FR1,balmMoE,1.0,0.9999734616279602,9.825093911786098e-06,1.0000265407562257
159,HC-FR1,balmMoE,1.0,0.9999049639701844,3.547202504705638e-05,1.0000950622558593
160,HC-FR1,balmMoE,1.0,0.9999521279335022,1.9853976482409053e-05,1.0000478792190552
161,HC-FR1,balmMoE,1.0,0.9998835229873657,3.896258203894831e-05,1.0001165246963502
162,HC-FR1,balmMoE,1.0,0.9977070140838623,0.0006627486436627805,1.00231698513031
163,HC-FR1,balmMoE,1.0,0.9996660017967224,0.00019321222498547286,1.0003342723846436
164,HC-FR1,balmMoE,1.0,0.99949622631073,5.5182146752486005e-05,1.0005087661743164
165,HC-FR1,balmMoE,1.0,0.9689053654670715,5.91126226936467e-05,1.0509089565277099
166,HC-FR1,balmMoE,1.0,0.9999290776252746,1.7173520973301493e-05,1.0000709438323974
167,HC-FR1,balmMoE,1.0,0.9999543786048889,2.109536580974236e-05,1.000045623779297
168,HC-FR1,balmMoE,1.0,0.9999247789382935,6.1774167988915e-05,1.000075225830078
169,HC-FR1,balmMoE,1.0,0.9999494481086731,1.078621789929457e-05,1.0000505828857422
170,HC-FR1,balmMoE,1.0,0.9844595289230347,2.5814548280322924e-05,1.0253550434112548
171,HC-FR1,balmMoE,1.0,0.9999430084228516,2.9493103284039535e-05,1.0000570011138916
172,HC-FR1,balmMoE,1.0,0.9999720191955567,1.7672877220320515e-05,1.0000279808044434
173,HC-FR1,balmMoE,1.0,0.9999187755584716,2.8180391382193193e-05,1.0000812482833863
174,HC-FR1,balmMoE,1.0,0.9893351721763611,0.006410242058336735,1.0109233856201172
175,HC-FR1,balmMoE,1.0,0.9999124264717102,1.7383776139467955e-05,1.0000876092910767
176,HC-FR1,balmMoE,1.0,0.9999693083763123,1.0045550880022347e-05,1.0000306940078736
177,HC-FR1,balmMoE,1.0,0.9999269461631775,3.807589382631704e-05,1.0000730705261232
178,HC-FR1,balmMoE,1.0,0.9999050474166871,7.473985169781372e-05,1.000094962120056
179,HC-FR1,balmMoE,1.0,0.9996094179153442,6.827295146649703e-05,1.0003921699523926
180,HC-FR1,balmMoE,1.0,0.9998355221748352,0.00011078415263909847,1.0001645660400391
181,HC-FR1,balmMoE,1.0,0.9999577736854554,1.78812460944755e-05,1.000042233467102
182,HC-FR1,balmMoE,1.0,0.9999566435813904,2.002905421250034e-05,1.0000433588027955
183,HC-FR1,balmMoE,1.0,0.9979068732261658,0.00020512596529442817,1.002172031402588
184,HC-FR1,balmMoE,1.0,0.9998702597618103,6.977847078815103e-05,1.0001297855377198
185,HC-FR1,balmMoE,1.0,0.9998959350585938,7.677324902033433e-05,1.000104079246521
186,HC-FR1,balmMoE,1.0,0.9999816608428955,9.719638001115527e-06,1.0000183391571045
187,HC-FR1,balmMoE,1.0,0.9998176002502441,5.781754225608893e-05,1.0001826000213623
188,HC-FR1,balmMoE,1.0,0.990153636932373,2.1148045561858453e-05,1.0130240535736084
189,HC-FR1,balmMoE,1.0,0.9997119140625,2.1386616936069913e-05,1.0002891683578492
190,HC-FR1,balmMoE,1.0,0.9999682950973511,2.0123576177866198e-05,1.000031704902649
191,HC-FR1,balmMoE,1.0,0.9999633455276489,1.7587351976544596e-05,1.0000366544723511
192,HC-FR1,balmMoE,1.0,0.9998761343955994,3.554683644324541e-05,1.0001240015029906
193,HC-FR1,balmMoE,1.0,0.9987318992614747,2.5551102226017974e-05,1.0013058280944824
194,HC-FR1,balmMoE,1.0,0.9999277544021606,2.4964225303847343e-05,1.0000722551345824
195,HC-FR1,balmMoE,1.0,0.9940549373626709,4.557089050649665e-05,1.006958293914795
196,HC-FR1,balmMoE,1.0,0.9999262022972107,2.9116661607986316e-05,1.0000738143920898
197,HC-FR1,balmMoE,1.0,0.9999479341506958,3.031912820006255e-05,1.0000520706176759
198,HC-FR1,balmMoE,1.0,0.9950388526916504,0.002651213202625513,1.0050583505630493
199,HC-FR1,balmMoE,1.0,0.9999680638313293,1.6892623534658924e-05,1.0000319385528564
200,HC-FR1,balmMoE,1.0,0.9999488782882691,1.8748611182672903e-05,1.0000511264801026
201,HC-FR1,balmMoE,1.0,0.9997602462768554,2.4246577595476992e-05,1.0002406024932862
202,HC-FR1,balmMoE,1.0,0.9999840307235718,1.0781743185361847e-05,1.0000159692764283
203,HC-FR1,balmMoE,1.0,0.999966938495636,2.2981146685197018e-05,1.0000330638885497
204,HC-FR1,balmMoE,1.0,0.99955246925354,0.00018319100490771234,1.0004483842849732
205,HC-FR1,balmMoE,1.0,0.9999558401107788,1.6372159734601155e-05,1.0000441694259643
206,HC-FR1,balmMoE,1.0,0.9999004149436951,3.641831426648423e-05,1.0000996112823486
207,HC-FR1,balmMoE,1.0,0.9996758961677551,9.969629172701389e-05,1.000324649810791
208,HC-FR1,balmMoE,1.0,0.9999003744125367,1.9705390513991006e-05,1.0000996780395508
209,HC-FR1,balmMoE,1.0,0.999955701828003,1.607905505807139e-05,1.0000443029403687
210,HC-FR1,balmMoE,1.0,0.9999479508399963,2.6813084332388826e-05,1.0000520515441895
211,HC-FR1,balmMoE,1.0,0.9999679899215699,2.3327922463067807e-05,1.0000320100784301
212,HC-FR1,balmMoE,1.0,0.9998605418205261,3.175215533701703e-05,1.0001395654678344
213,HC-FR1,balmMoE,1.0,0.999579725265503,5.795835022581741e-05,1.0004214191436767
214,HC-FR1,balmMoE,1.0,0.9999485588073731,3.482426473055966e-05,1.000051441192627
215,HC-FR1,balmMoE,1.0,0.9999118065834045,1.626775338081643e-05,1.0000882530212403
216,HC-FR1,balmMoE,1.0,0.9999041223526001,9.046907507581636e-06,1.000096025466919
217,HC-FR1,balmMoE,1.0,0.9999713659286499,2.2087049728725106e-05,1.00002863407135
218,HC-FR1,balmMoE,1.0,0.9998935556411743,3.13334894599393e-05,1.0001064872741698
219,HC-FR1,balmMoE,1.0,0.9999425387382508,2.1022420696681365e-05,1.0000574684143066
