,region,model,accuracy,score,loss,perplexity
77,HC-FR1,balmMoE,1.0,0.9999551153182984,1.4232959074433893e-05,1.0000448894500733
78,HC-FR1,balmMoE,1.0,0.9952760601043701,0.0032502312678843737,1.004765543937683
79,HC-FR1,balmMoE,1.0,0.9998507952690124,6.816774111939594e-05,1.000149278640747
80,HC-FR1,balmMoE,1.0,0.9998129630088806,5.620076262857765e-05,1.0001872968673706
81,HC-FR1,balmMoE,1.0,0.9860301756858826,0.007586369290947914,1.014417700767517
82,HC-FR1,balmMoE,0.96,0.8954024720191955,0.05173991620540619,1.7912023591995239
83,HC-FR1,balmMoE,0.96,0.9755830121040344,0.00922674685716629,2.4924642276763915
84,HC-FR1,balmMoE,0.88,0.9372066712379455,0.019589629024267197,2.3058583116531373
85,HC-FR1,balmMoE,0.96,0.9565796208381653,0.034257300198078156,1.3779526519775391
86,HC-FR1,balmMoE,1.0,0.9999855327606201,6.915249286976177e-06,1.0000144672393798
87,HC-FR1,balmMoE,1.0,0.9609042763710022,0.019553164020180702,1.0453784608840941
88,HC-FR1,balmMoE,1.0,0.9958247661590576,0.002526620402932167,1.0042198705673218
89,HC-FR1,balmMoE,1.0,0.9893214845657349,0.004968519322574139,1.0110478019714355
90,HC-FR1,balmMoE,1.0,0.964731776714325,0.018297573551535606,1.0399324798583984
91,HC-FR1,balmMoE,1.0,0.9542303204536438,0.03081968054175377,1.0535337591171265
92,HC-FR1,balmMoE,1.0,0.9831270480155945,0.00834319181740284,1.0179200506210326
93,HC-FR1,balmMoE,1.0,0.9840066504478454,0.009641709737479687,1.0166161489486694
94,HC-FR1,balmMoE,1.0,0.9714384913444519,0.023252446204423904,1.0306140756607056
95,HC-FR1,balmMoE,1.0,0.9824931383132934,0.016228996217250824,1.018164644241333
96,HC-FR1,balmMoE,0.92,0.9455816721916199,0.017232615500688553,3.062615418434143
97,HC-FR1,balmMoE,1.0,0.9762304592132568,0.012288616970181465,1.0264064836502076
98,HC-FR1,balmMoE,1.0,0.9999498391151428,1.4711319636262488e-05,1.0000501680374145
99,HC-FR1,balmMoE,1.0,0.9839440107345581,0.007295558229088783,1.017198133468628
100,HC-FR1,balmMoE,1.0,0.9979062247276306,0.000511918100528419,1.0021127367019653
101,HC-FR1,balmMoE,0.88,0.9179989123344421,0.04030495882034302,6.343006367683411
102,HC-FR1,balmMoE,1.0,0.9662136197090149,0.017474835738539696,1.0419059371948243
103,HC-FR1,balmMoE,1.0,0.9998697805404663,5.8916397392749786e-05,1.0001302671432495
104,HC-FR1,balmMoE,1.0,0.9996295285224914,1.786667235137429e-05,1.0003732824325562
105,HC-FR1,balmMoE,0.96,0.9355655837059021,0.02999543957412243,1.6715925598144532
106,HC-FR1,balmMoE,1.0,0.9644442772865296,0.01719551533460617,1.0387332248687744
107,HC-FR1,balmMoE,1.0,0.9883605742454529,0.007104804273694754,1.0120095825195312
108,HC-FR1,balmMoE,1.0,0.979631781578064,0.011792641133069992,1.021301417350769
109,HC-FR1,balmMoE,0.92,0.9555478310585022,0.020950624719262123,7.513364138603211
110,HC-FR1,balmMoE,0.92,0.9702005052566528,0.0186526570469141,4.795841274261474
111,HC-FR1,balmMoE,0.96,0.947875292301178,0.023631256073713303,1.4436497449874879
112,HC-FR1,balmMoE,1.0,0.9270377969741821,0.039206646382808685,1.1006594228744506
113,HC-FR1,balmMoE,1.0,0.998776535987854,0.00012982438784092665,1.0012452030181884
114,HC-FR1,balmMoE,0.92,0.9608994817733765,0.024157404899597168,3.1718404150009154
115,HC-FR1,balmMoE,1.0,0.9860187530517578,0.00894945953041315,1.014365873336792
116,HC-FR1,balmMoE,0.96,0.9595206618309021,0.022253863513469696,1.1388300848007202
117,HC-FR1,balmMoE,1.0,0.9999454522132873,3.3054060622816905e-05,1.0000545501708984
118,HC-FR1,balmMoE,1.0,0.9999392819404602,1.6271813365165144e-05,1.0000607299804687
119,HC-FR1,balmMoE,0.92,0.918361873626709,0.04723181575536728,1.7293750143051148
120,HC-FR1,balmMoE,0.96,0.9692562150955201,0.010879792273044586,7.370087704658508
