,region,model,length,accuracy,score,loss,perplexity
1572,hcdr3,balm,16,0.6875,0.729012256488204,0.11308485642075539,10.826033294200897
1573,lcdr3,balm,10,1.0,0.8484772861003875,9.029437478602631e-05,1.3081576466560363
1574,hcdr3,balm,11,0.7272727272727273,0.6392372358929027,0.6739766597747803,84.36774521524256
1575,lcdr3,balm,10,1.0,0.9576975703239441,4.3927562728640623e-05,1.0678563594818116
1576,hcdr3,balm,15,0.6666666666666666,0.6408379505077998,0.5911573767662048,29.537425486246743
1577,lcdr3,balm,9,1.0,0.9651395148701138,3.981510963058099e-05,1.0417731867896185
1578,hcdr3,balm,16,0.75,0.688611171208322,0.42176999151706696,6.708798468112946
1579,lcdr3,balm,10,0.8,0.9180008202791214,2.4020380806177855e-05,2.1072678446769713
1580,hcdr3,balm,18,0.7222222222222222,0.7385903969407082,0.0792736682924442,16.836449828412796
1581,lcdr3,balm,10,0.9,0.9719744980335235,2.932502411567839e-05,3.7004873871803285
1582,hcdr3,balm,18,0.7222222222222222,0.7648992215593656,0.024925593053922057,10.458028998639849
1583,lcdr3,balm,13,0.9230769230769231,0.9070715755224228,1.4305012882687151e-05,1.3605950795687163
1584,hcdr3,balm,11,0.7272727272727273,0.661416111344641,0.024542780593037605,12.944140824404629
1585,lcdr3,balm,8,0.875,0.918572161346674,8.821005576464813e-05,6.952837750315666
1586,hcdr3,balm,19,0.8421052631578947,0.7937825573118109,0.008027669973671436,11.926393929280733
1587,lcdr3,balm,10,0.9,0.9160715520381928,0.0007625485086464323,2.6122766613960264
1588,hcdr3,balm,16,0.6875,0.613622791133821,0.8997800648212433,7.795990198850632
1589,lcdr3,balm,9,1.0,0.98274740907881,7.986990567587782e-06,1.018617828687032
1590,hcdr3,balm,16,0.8125,0.7856917092576623,0.04145186673849821,7.0943125784397125
1591,lcdr3,balm,10,0.8,0.928495180606842,0.001748258713632822,6.8081167340278625
1592,hcdr3,balm,12,0.6666666666666666,0.6855780084927877,0.3487387001514435,5.413554151852925
1593,lcdr3,balm,9,0.8888888888888888,0.9026596910423703,0.00019202772818971425,1.794763445854187
1594,hcdr3,balm,16,0.625,0.6422871295362711,0.43937134742736816,12.237789861857891
1595,lcdr3,balm,11,1.0,0.9413350983099504,1.0609570381348021e-05,1.090581091967496
1596,hcdr3,balm,13,0.6153846153846154,0.6367114753677294,0.6116154193878174,13.462561534001278
1597,lcdr3,balm,11,1.0,0.9375153888355602,1.1920858014491387e-05,1.0952771793712268
1598,hcdr3,balm,13,0.5384615384615384,0.49939349637581754,1.8229286670684814,17.52471771607032
1599,lcdr3,balm,8,0.875,0.8528056778013706,0.000928985283280781,2.7983709424734116
1600,hcdr3,balm,16,0.625,0.5371604794636369,1.5411224961280823,18.94178208708763
1601,lcdr3,balm,9,0.8888888888888888,0.956401891178555,4.51792984677013e-05,727.4578160444895
1602,hcdr3,balm,20,0.8,0.8732667699456215,0.000404382633860223,8.653108012676238
1603,lcdr3,balm,10,0.8,0.9120578050613404,0.00015900153175607556,1.5942862510681153
1604,hcdr3,balm,16,0.8125,0.797842756845057,0.008967333473265171,3.698297217488289
1605,lcdr3,balm,9,0.8888888888888888,0.948156045542823,5.9602869441732764e-05,2.243820203675164
1606,hcdr3,balm,15,0.5333333333333333,0.6586620301008225,0.48279881477355957,21.362340553601584
1607,lcdr3,balm,10,0.8,0.9408214211463928,7.772011940687662e-05,6.71428564786911
1608,hcdr3,balm,10,0.8,0.6776323065161705,0.2738626152276993,3.293590772151947
1609,lcdr3,balm,9,1.0,0.917926205529107,4.303362584323622e-05,1.1698681910832722
1610,hcdr3,balm,18,0.8333333333333334,0.7953570336103439,0.009066332131624222,9.983421001169416
1611,lcdr3,balm,9,0.8888888888888888,0.9115114841196272,7.962863310240209e-05,4.821377370092604
1612,hcdr3,balm,23,0.7391304347826086,0.643121129144793,0.4802302122116089,11.294945561367532
1613,lcdr3,balm,10,0.9,0.8991183429956436,0.00024962494489955134,13.427966284751893
1614,hcdr3,balm,16,0.5625,0.5574048031121492,1.0861043632030487,10.102014616131783
1615,lcdr3,balm,11,0.9090909090909091,0.9552581093528054,1.680836794548668e-05,4.434871142560786
1616,hcdr3,balm,19,0.6842105263157895,0.6164930337353757,1.2689961194992065,8.671442257730584
1617,lcdr3,balm,11,1.0,0.9567787863991477,1.9073468138230965e-06,1.0715979987924749
1618,hcdr3,balm,18,0.7222222222222222,0.7088143395053016,0.048193272203207016,9.978611164622837
1619,lcdr3,balm,9,0.8888888888888888,0.9258107410536872,0.00017152745567727834,2.5733154482311673
1620,hcdr3,balm,14,0.7142857142857143,0.7371057782854352,0.19718606397509575,8.021785965987615
1621,lcdr3,balm,10,0.9,0.9620949983596802,0.0004573753394652158,5.2332235217094425
1622,hcdr3,balm,25,0.44,0.6067493510246277,2.1300301551818848,14.072457270622253
1623,lcdr3,balm,13,0.8461538461538461,0.8953305058754407,1.764281842042692e-05,3.3280087067530704
1624,hcdr3,balm,19,0.7368421052631579,0.7597755828970357,0.05511462315917015,5.862111606095967
1625,lcdr3,balm,10,0.9,0.9262852311134339,4.75629576612846e-05,24.36202127933502
1626,hcdr3,balm,22,0.8181818181818182,0.7599185082045469,0.005894652509596199,2.9754301526329736
1627,lcdr3,balm,9,0.8888888888888888,0.9589792887369791,5.8412379075889476e-06,156.97679927614
1628,hcdr3,balm,16,0.875,0.842584908939898,0.0005158642306923866,3.8192098662257195
1629,lcdr3,balm,9,0.8888888888888888,0.9737637970182631,7.033323527139146e-06,4.478972276051839
1630,hcdr3,balm,20,0.7,0.7795930661261081,0.030107365921139717,5.8063693106174465
1631,lcdr3,balm,9,1.0,0.9812242653634813,0.00013076403411105275,1.0207455820507474
1632,hcdr3,balm,18,0.5555555555555556,0.6590855817000071,0.15457972884178162,14.487076527542538
1633,lcdr3,balm,10,0.9,0.9111477673053742,0.0004018224162791739,1.6747624158859253
1634,hcdr3,balm,16,0.5625,0.6116819232702255,1.2015256881713867,22.161272414028645
1635,lcdr3,balm,10,1.0,0.9351028740406037,0.00011985775563516654,1.1294306516647339
1636,hcdr3,balm,19,0.7894736842105263,0.7138960149727369,0.1942422240972519,11.892431761089124
1637,lcdr3,balm,9,0.8888888888888888,0.9558991193771362,0.00029905137489549816,6.241531782680088
1638,hcdr3,balm,11,0.9090909090909091,0.7070754901929335,0.09974803775548935,2.4834548126567495
1639,lcdr3,balm,5,1.0,0.7490173935890198,0.24152708053588867,1.593496036529541
1640,hcdr3,balm,17,0.5882352941176471,0.6898014466552174,0.390554279088974,7.052808235673344
1641,lcdr3,balm,10,0.9,0.9472163081169128,0.0003089568790528574,2.4671715974807737
1642,hcdr3,balm,17,0.5882352941176471,0.6927918590166989,0.07798222452402115,10.911439110251035
1643,lcdr3,balm,9,1.0,0.961626927057902,5.483612312673358e-06,1.0573711262808905
